from,to,value
美国,物理学奖,85
美国,化学奖,58
美国,生理或医学奖,88
美国,经济学奖,40
英国,物理学奖,21
英国,化学奖,25
英国,生理或医学奖,28
英国,经济学奖,6
德国,物理学奖,21
德国,化学奖,28
德国,生理或医学奖,15
德国,经济学奖,1
法国,物理学奖,12
法国,化学奖,8
法国,生理或医学奖,8
法国,经济学奖,1
瑞典,物理学奖,4
瑞典,化学奖,4
瑞典,生理或医学奖,8
瑞典,经济学奖,2
瑞士,物理学奖,3
瑞士,化学奖,6
瑞士,生理或医学奖,6
荷兰,物理学奖,8
荷兰,化学奖,3
荷兰,生理或医学奖,2
荷兰,经济学奖,1
俄罗斯,物理学奖,9
俄罗斯,化学奖,1
俄罗斯,生理或医学奖,2
俄罗斯,经济学奖,2
奥地利,物理学奖,3
奥地利,化学奖,2
奥地利,生理或医学奖,6
奥地利,经济学奖,1
丹麦,物理学奖,3
丹麦,化学奖,1
丹麦,生理或医学奖,5
日本,物理学奖,4
日本,化学奖,4
日本,生理或医学奖,4
意大利,物理学奖,3
意大利,化学奖,1
意大利,生理或医学奖,3
加拿大,物理学奖,2
加拿大,化学奖,2
加拿大,生理或医学奖,2
加拿大,经济学奖,1
澳大利亚,生理或医学奖,2
比利时,化学奖,1
比利时,生理或医学奖,4
挪威,化学奖,1
挪威,经济学奖,3
以色列,化学奖,2
以色列,经济学奖,1
印度,物理学奖,1
印度,经济学奖,1
阿根廷,化学奖,1
阿根廷,生理或医学奖,1
匈牙利,化学奖,1
匈牙利,生理或医学奖,1